,label,short,word
0,0,中國大陸民法侵權責任編評析,"['中國大陸', '民法', '侵權責', '任編', '評析']"
1,0,具有人格象徵意義的特定紀念物與精神損害賠償實證研究,"['具有', '人格', '象徵意', '義的', '特定', '紀', '念物', '與', '精神', '損害', '賠償', '實證', '研究']"
2,0,「知之歸責」的擴大：民法第105條規定之類推適用,"['「', '知之歸責', '」', '的', '擴大', '：', '民法', '第', '105', '條規定', '之類', '推', '適用']"
3,0,由國碩案論專利侵權不當得利之雙重意義——以民法第197條第2項的自有規範內容為中心,"['由國', '碩案論', '專利', '侵權', '不當', '得利', '之', '雙重', '意義', '—', '—', '以', '民法', '第', '197', '條第', '2', '項', '的', '自有', '規範內', '容為', '中心']"
4,0,電桿為民法第66條第1項規定之定著物──最高法院106年度台上字第828號民事判決,"['電桿', '為', '民法', '第', '66', '條第', '1', '項規定', '之定', '著物', '─', '─', '最高法院', '106', '年度', '台上', '字', '第', '828', '號', '民事', '判決']"
5,0,衡平判斷與民法上之誠信原則、情事變更、違約金酌減之運用,"['衡平', '判斷', '與', '民法', '上', '之誠信', '原則', '、', '情事', '變', '更', '、', '違約', '金酌', '減之運用']"
6,0,從「我們的憲法」、「我們」到「我們的釋憲者」：形塑非國民之憲法上權利主體,"['從', '「', '我們', '的', '憲法', '」', '、', '「', '我們', '」', '到', '「', '我們', '的', '釋憲者', '」', '：', '形塑', '非國民', '之', '憲法', '上', '權利', '主體']"
7,0,《最高人民法院關於適用〈中華人民共和國保險法〉若干問題的解釋（四）》述評,"['《', '最高人民法院', '關於', '適用', '〈', '中華', '人民', '共和', '國保險法', '〉', '若干', '問題', '的', '解釋', '（', '四', '）', '》', '述評']"
8,0,德國民法第280條第1項第2句推定可歸責之射程範圍（譯）,"['德國', '民法', '第', '280', '條第', '1', '項', '第', '2', '句', '推定', '可歸責', '之', '射程', '範圍', '（', '譯', '）']"
9,0,民法典编纂“两步走”思路之检讨,"['民法典', '编纂', '“', '两步走', '”', '思路', '之', '检讨']"
10,0,論人格權請求權與侵權損害賠償請求權的分離,"['論', '人格', '權請', '求權', '與', '侵權', '損害', '賠償', '請', '求權', '的', '分離']"
11,0,論不適用勞基法工時規制之住院醫師的過勞認定與民事損害賠償之請求權基礎－以最高法院106年度台上字第15號民事判決為素材,"['論', '不', '適用', '勞基法', '工時', '規制', '之', '住院', '醫師', '的', '過勞', '認定', '與', '民事', '損害', '賠償', '之', '請', '求權', '基礎', '－', '以', '最高法院', '106', '年度', '台上', '字', '第', '15', '號', '民事', '判決', '為', '素材']"
12,0,民法典編纂背景下重大誤解的規範構造,"['民法典', '編纂', '背景', '下', '重大', '誤解', '的', '規範', '構造']"
13,0,過度互聯時代被遺忘權保護與自由的代價,"['過度', '互聯', '時代', '被', '遺忘權', '保護', '與', '自由', '的', '代價']"
14,0,個人投資者的保護邏輯與新時代的路徑選擇──以金融產品銷售為例,"['個', '人', '投資者', '的', '保護', '邏輯', '與', '新', '時代', '的', '路徑', '選擇', '─', '─', '以', '金融', '產品', '銷售', '為例']"
15,0,《民法典》草案之居住權規範的檢討和完善,"['《', '民法典', '》', '草案', '之', '居住', '權規範', '的', '檢討', '和', '完善']"
16,0,外空活動中的網絡安全國際規則探析,"['外空', '活動', '中', '的', '網絡', '安全', '國際', '規則', '探析']"
17,0,對《反不正當競爭法》中競爭關係的批判與重構──以立法目的、商業道德與競爭關係之間的體系性理解為視角,"['對', '《', '反', '不正', '當競爭', '法', '》', '中', '競爭關', '係', '的', '批判', '與', '重構', '─', '─', '以', '立法', '目的', '、', '商業', '道德', '與', '競爭關', '係', '之間', '的', '體系性', '理解', '為視角']"
18,0,執行體制改革背景下“執行員”的再解讀,"['執行', '體制', '改革', '背景', '下', '“', '執行員', '”', '的', '再', '解讀']"
19,0,從《塔林手冊2.0版》看網絡攻擊中國家責任歸因的演繹與發展,"['從', '《', '塔林', '手冊', '2.0', '版', '》', '看', '網絡', '攻擊', '中國家', '責任', '歸', '因', '的', '演繹', '與', '發展']"
20,0,民法體系語境下民事客體理論的權利思維,"['民法', '體系', '語境', '下', '民事', '客體', '理論', '的', '權利', '思維']"
21,0,簡評民法親屬編修正草案──以贍養費修法為中心,"['簡評', '民法', '親屬編', '修正', '草案', '─', '─', '以', '贍', '養費', '修法', '為', '中心']"
22,0,違反子女利益不得「處分」乎？抑或不得「代理」處分乎？民法第1088條第2項但書規定「有待正名」乎？─最高法院103年度台上字第2650號判決提供的反思,"['違反', '子女', '利益', '不得', '「', '處分', '」', '乎', '？', '抑或', '不得', '「', '代理', '」', '處分乎', '？', '民法', '第', '1088', '條第', '2', '項', '但', '書', '規定', '「', '有待', '正名', '」', '乎', '？', '─', '最高法院', '103', '年度', '台上', '字', '第', '2650', '號判決', '提供', '的', '反思']"
23,0,分配方案異議之訴研究,"['分配', '方案', '異議', '之訴', '研究']"
24,0,網路空間負責任國家行為規範：源起、影響和應對,"['網路', '空間', '負責', '任國家', '行為', '規範', '：', '源起', '、', '影響', '和', '應', '對']"
25,0,中國行賄罪的刑事立法困境及其完善,"['中國行', '賄罪', '的', '刑事', '立法', '困境', '及其', '完善']"
26,0,執行程序中被執行人配偶追加問題研究,"['執行', '程序', '中', '被執', '行人', '配偶', '追加', '問題', '研究']"
27,0,論《行政處罰法》修改的基本立場,"['論', '《', '行政', '處罰', '法', '》', '修改', '的', '基本', '立場']"
28,0,附條件不起訴適用對象的爭議問題：基於觀察發現的理論反思,"['附條件', '不', '起訴', '適用', '對象', '的', '爭議', '問題', '：', '基', '於', '觀察', '發現', '的', '理論', '反思']"
29,0,經驗法則與意思表示之解釋,"['經驗', '法則', '與', '意思', '表示', '之解釋']"
30,0,虛假意思表示、違背公序良俗與惡意串通損害他人合法權益作為法律行為無效原因的適用,"['虛假', '意思', '表示', '、', '違背', '公序良', '俗', '與', '惡意', '串通', '損害', '他人', '合法', '權益', '作為', '法律', '行為', '無效', '原因', '的', '適用']"
31,0,新型人格利益的生成與保護,"['新型', '人格', '利益', '的', '生成', '與', '保護']"
32,0,民法上自始客觀給付不能以及嗣後不能之法律效果(最高法院民事判決106年度台上字第1163號),"['民法', '上', '自始', '客觀', '給付', '不能', '以及', '嗣', '後', '不能', '之', '法律', '效果', '(', '最高法院', '民事', '判決', '106', '年度', '台上', '字', '第', '1163', '號', ')']"
33,0,雙元性的家事勞動法制：東亞各國比較與國內法化方向,"['雙元性', '的', '家事', '勞動法', '制', '：', '東亞', '各國', '比較', '與', '國內', '法化', '方向']"
34,0,項目融資與債權質權,"['項目', '融資', '與', '債權', '質權']"
35,0,醫療常規與醫療過失之判定,"['醫療', '常規', '與', '醫療', '過失', '之', '判定']"
36,0,醫療訴訟之刑法、民法、消保法、醫療法之綜合探討,"['醫療', '訴訟', '之', '刑法', '、', '民法', '、', '消保法', '、', '醫療', '法', '之', '綜合', '探討']"
37,0,臺灣民法誠信原則之實務發展,"['臺灣', '民法', '誠信', '原則', '之', '實務', '發展']"
38,0,臺灣民法上之情事變更原則,"['臺灣', '民法', '上', '之', '情事', '變', '更', '原則']"
39,0,從最高法院106年度台上字第1048號民事判決看臺灣醫事民事責任之新趨勢,"['從', '最高法院', '106', '年度', '台上', '字', '第', '1048', '號', '民事', '判決', '看', '臺灣', '醫事', '民事', '責任', '之', '新', '趨勢']"
40,0,民法動物占有人侵權責任之比較研究,"['民法', '動物', '占有', '人侵', '權責任', '之', '比較', '研究']"
